Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Pineapple juice_var2,1 cup,250,120,1,t,0,0.2,32,Fruits G-P
Plums_var2,1 cup,256,185,1,t,0,0.7,50,Fruits G-P
"Raw, 2"" diameter_var2",1,60,30,t,t,0,0.2,7,Fruits G-P
Prunes_var2,1 cup,270,300,3,1,0,0.8,81,Fruits G-P
Prune juice_var2,1 cup,240,170,1,t,0,0.7,45,Fruits G-P
Raisins_var2,1/2 cup,88,230,2,t,0,0.7,82,Fruits R-Z
Raspberries_var2,1/2 cup,100,100,t,t,0,2,25,Fruits R-Z
"Raw, red_var2",3/4 cup,100,57,t,t,0,5,14,Fruits R-Z
Rhubarb sweetened_var2,1 cup,270,385,1,t,0,1.9,98,Fruits R-Z
Strawberries_var2,1 cup,227,242,1,t,0,1.3,60,Fruits R-Z
Raw_var2,1 cup,149,54,t,t,0,1.9,12,Fruits R-Z
Tangerines_var2,I med.,114,40,1,t,0,1,10,Fruits R-Z
Watermelon_var2,1 wedge,925,120,2,1,0,3.6,29,Fruits R-Z
Biscuits_var2,1,38,130,3,4,3,t,18,"Breads, cereals, fastfood,grains"
Bran flakes_var2,1 cup,25,117,3,t,0,0.1,32,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat_var2",1 slice,23,60,2,1,1,0.1,12,"Breads, cereals, fastfood,grains"
Rye_var2,1 slice,23,55,2,1,1,0.1,12,"Breads, cereals, fastfood,grains"
"White, 20 slices, or_var2",1-lb. loaf,454,"1,225",39,15,12,9,229,"Breads, cereals, fastfood,grains"
Whole-wheat_var2,1-lb. loaf,454,"1,100",48,14,10,67.5,216,"Breads, cereals, fastfood,grains"
